SHIPPING_LOCATION,STATE,ZIP_CODE,REGION,CITY_X,CITY_Y,BRANCH,INVOICE_ID,FREE_RETURNS
48180,Texas,79424,Central,Naypyitaw,Lubbock,B,408-26-9866,Free 90-day returns
48180,Washington,98444,West,Naypyitaw,Parkland,B,408-26-9866,Free 90-day returns
48180,New York,14225,East,Naypyitaw,Cheektowaga,B,408-26-9866,Free 90-day returns
48180,Montana,59715,West,Naypyitaw,Bozeman,B,408-26-9866,Free 90-day returns
48180,Kansas,67846,Central,Naypyitaw,Garden City,B,408-26-9866,Free 90-day returns
48180,Texas,78207,Central,Naypyitaw,San Antonio,B,408-26-9866,Free 90-day returns
48180,Maryland,21113,East,Naypyitaw,Odenton,B,408-26-9866,Free 90-day returns
48180,Alabama,36608,South,Naypyitaw,Mobile,B,408-26-9866,Free 90-day returns
48180,Colorado,80020,West,Naypyitaw,Broomfield,B,408-26-9866,Free 90-day returns
48180,Texas,77015,Central,Naypyitaw,Cloverleaf,B,408-26-9866,Free 90-day returns
48180,Kansas,66104,Central,Naypyitaw,Kansas City,B,408-26-9866,Free 90-day returns
48180,Ohio,44646,East,Naypyitaw,Massillon,B,408-26-9866,Free 90-day returns
48180,California,91941,West,Naypyitaw,La Mesa,B,408-26-9866,Free 90-day returns
48180,Wisconsin,53150,Central,Naypyitaw,Muskego,B,408-26-9866,Free 90-day returns
48180,Alabama,36116,South,Naypyitaw,Montgomery,B,408-26-9866,Free 90-day returns
48180,North Carolina,28601,South,Naypyitaw,Hickory,B,408-26-9866,Free 90-day returns
48180,Mississippi,39503,South,Naypyitaw,Gulfport,B,408-26-9866,Free 90-day returns
48180,California,92704,West,Naypyitaw,Santa Ana,B,408-26-9866,Free 90-day returns
48180,Florida,32174,South,Naypyitaw,Ormond Beach,B,408-26-9866,Free 90-day returns
48180,Georgia,30809,South,Naypyitaw,Evans,B,408-26-9866,Free 90-day returns
48180,Ohio,44312,East,Naypyitaw,Akron,B,408-26-9866,Free 90-day returns
48180,Idaho,83843,West,Naypyitaw,Moscow,B,408-26-9866,Free 90-day returns
48180,California,95677,West,Naypyitaw,Rocklin,B,408-26-9866,Free 90-day returns
94565,Texas,79424,Central,Naypyitaw,Lubbock,B,408-26-9866,Free 90-day returns
94565,Washington,98444,West,Naypyitaw,Parkland,B,408-26-9866,Free 90-day returns
94565,New York,14225,East,Naypyitaw,Cheektowaga,B,408-26-9866,Free 90-day returns
94565,Montana,59715,West,Naypyitaw,Bozeman,B,408-26-9866,Free 90-day returns
94565,Kansas,67846,Central,Naypyitaw,Garden City,B,408-26-9866,Free 90-day returns
94565,Texas,78207,Central,Naypyitaw,San Antonio,B,408-26-9866,Free 90-day returns
94565,Maryland,21113,East,Naypyitaw,Odenton,B,408-26-9866,Free 90-day returns
94565,Alabama,36608,South,Naypyitaw,Mobile,B,408-26-9866,Free 90-day returns
94565,Colorado,80020,West,Naypyitaw,Broomfield,B,408-26-9866,Free 90-day returns
94565,Texas,77015,Central,Naypyitaw,Cloverleaf,B,408-26-9866,Free 90-day returns
94565,Kansas,66104,Central,Naypyitaw,Kansas City,B,408-26-9866,Free 90-day returns
94565,Ohio,44646,East,Naypyitaw,Massillon,B,408-26-9866,Free 90-day returns
94565,California,91941,West,Naypyitaw,La Mesa,B,408-26-9866,Free 90-day returns
94565,Wisconsin,53150,Central,Naypyitaw,Muskego,B,408-26-9866,Free 90-day returns
94565,Alabama,36116,South,Naypyitaw,Montgomery,B,408-26-9866,Free 90-day returns
94565,North Carolina,28601,South,Naypyitaw,Hickory,B,408-26-9866,Free 90-day returns
94565,Mississippi,39503,South,Naypyitaw,Gulfport,B,408-26-9866,Free 90-day returns
94565,California,92704,West,Naypyitaw,Santa Ana,B,408-26-9866,Free 90-day returns
94565,Florida,32174,South,Naypyitaw,Ormond Beach,B,408-26-9866,Free 90-day returns
94565,Georgia,30809,South,Naypyitaw,Evans,B,408-26-9866,Free 90-day returns
94565,Ohio,44312,East,Naypyitaw,Akron,B,408-26-9866,Free 90-day returns
94565,Idaho,83843,West,Naypyitaw,Moscow,B,408-26-9866,Free 90-day returns
94565,California,95677,West,Naypyitaw,Rocklin,B,408-26-9866,Free 90-day returns
33012,Texas,79424,Central,Naypyitaw,Lubbock,B,408-26-9866,Free 90-day returns
33012,Washington,98444,West,Naypyitaw,Parkland,B,408-26-9866,Free 90-day returns
33012,New York,14225,East,Naypyitaw,Cheektowaga,B,408-26-9866,Free 90-day returns
33012,Montana,59715,West,Naypyitaw,Bozeman,B,408-26-9866,Free 90-day returns
33012,Kansas,67846,Central,Naypyitaw,Garden City,B,408-26-9866,Free 90-day returns
33012,Texas,78207,Central,Naypyitaw,San Antonio,B,408-26-9866,Free 90-day returns
33012,Maryland,21113,East,Naypyitaw,Odenton,B,408-26-9866,Free 90-day returns
33012,Alabama,36608,South,Naypyitaw,Mobile,B,408-26-9866,Free 90-day returns
33012,Colorado,80020,West,Naypyitaw,Broomfield,B,408-26-9866,Free 90-day returns
33012,Texas,77015,Central,Naypyitaw,Cloverleaf,B,408-26-9866,Free 90-day returns
33012,Kansas,66104,Central,Naypyitaw,Kansas City,B,408-26-9866,Free 90-day returns
33012,Ohio,44646,East,Naypyitaw,Massillon,B,408-26-9866,Free 90-day returns
33012,California,91941,West,Naypyitaw,La Mesa,B,408-26-9866,Free 90-day returns
33012,Wisconsin,53150,Central,Naypyitaw,Muskego,B,408-26-9866,Free 90-day returns
33012,Alabama,36116,South,Naypyitaw,Montgomery,B,408-26-9866,Free 90-day returns
33012,North Carolina,28601,South,Naypyitaw,Hickory,B,408-26-9866,Free 90-day returns
33012,Mississippi,39503,South,Naypyitaw,Gulfport,B,408-26-9866,Free 90-day returns
33012,California,92704,West,Naypyitaw,Santa Ana,B,408-26-9866,Free 90-day returns
33012,Florida,32174,South,Naypyitaw,Ormond Beach,B,408-26-9866,Free 90-day returns
33012,Georgia,30809,South,Naypyitaw,Evans,B,408-26-9866,Free 90-day returns
33012,Ohio,44312,East,Naypyitaw,Akron,B,408-26-9866,Free 90-day returns
33012,Idaho,83843,West,Naypyitaw,Moscow,B,408-26-9866,Free 90-day returns
33012,California,95677,West,Naypyitaw,Rocklin,B,408-26-9866,Free 90-day returns
33012,Texas,79424,Central,Naypyitaw,Lubbock,B,408-26-9866,Free 90-day returns
33012,Washington,98444,West,Naypyitaw,Parkland,B,408-26-9866,Free 90-day returns
33012,New York,14225,East,Naypyitaw,Cheektowaga,B,408-26-9866,Free 90-day returns
33012,Montana,59715,West,Naypyitaw,Bozeman,B,408-26-9866,Free 90-day returns
33012,Kansas,67846,Central,Naypyitaw,Garden City,B,408-26-9866,Free 90-day returns
33012,Texas,78207,Central,Naypyitaw,San Antonio,B,408-26-9866,Free 90-day returns
33012,Maryland,21113,East,Naypyitaw,Odenton,B,408-26-9866,Free 90-day returns
33012,Alabama,36608,South,Naypyitaw,Mobile,B,408-26-9866,Free 90-day returns
33012,Colorado,80020,West,Naypyitaw,Broomfield,B,408-26-9866,Free 90-day returns
33012,Texas,77015,Central,Naypyitaw,Cloverleaf,B,408-26-9866,Free 90-day returns
33012,Kansas,66104,Central,Naypyitaw,Kansas City,B,408-26-9866,Free 90-day returns
33012,Ohio,44646,East,Naypyitaw,Massillon,B,408-26-9866,Free 90-day returns
33012,California,91941,West,Naypyitaw,La Mesa,B,408-26-9866,Free 90-day returns
